state,date,rainfall,price
himachal pradesh,01-01-2013,79.9,16.0
punjab,01-01-2013,9.3,11.0
uttar pradesh,01-01-2013,6.1,10.0
uttar pradesh,01-01-2013,6.1,10.0
uttar pradesh,01-01-2013,6.1,10.0
uttarakhand,01-01-2013,73.0,12.0
chhattisgarh,01-01-2013,2.8,16.0
gujarat,01-01-2013,0.0,18.0
gujarat,01-01-2013,0.0,16.0
madhya pradesh,01-01-2013,1.7,15.0
madhya pradesh,01-01-2013,1.7,15.0
madhya pradesh,01-01-2013,1.7,10.0
maharashtra,01-01-2013,0.1,17.0
rajasthan,01-01-2013,1.4,10.0
rajasthan,01-01-2013,1.4,10.0
west bengal,01-01-2013,2.5,12.0
karnataka,01-01-2013,2.4,18.0
kerala,01-01-2013,3.9,27.0
kerala,01-01-2013,3.9,23.0
telangana,01-01-2013,2.4,20.0
haryana,02-01-2013,21.1,9.0
haryana,02-01-2013,21.1,9.0
himachal pradesh,02-01-2013,79.9,16.0
punjab,02-01-2013,9.3,11.0
uttar pradesh,02-01-2013,6.1,10.0
uttar pradesh,02-01-2013,6.1,10.0
uttar pradesh,02-01-2013,6.1,10.0
uttarakhand,02-01-2013,73.0,12.0
chhattisgarh,02-01-2013,2.8,16.0
gujarat,02-01-2013,0.0,18.0
gujarat,02-01-2013,0.0,16.0
madhya pradesh,02-01-2013,1.7,15.0
madhya pradesh,02-01-2013,1.7,15.0
madhya pradesh,02-01-2013,1.7,10.0
madhya pradesh,02-01-2013,1.7,10.0
maharashtra,02-01-2013,0.1,17.0
rajasthan,02-01-2013,1.4,7.0
bihar,02-01-2013,5.1,13.0
bihar,02-01-2013,5.1,8.0
west bengal,02-01-2013,2.5,12.0
karnataka,02-01-2013,2.4,18.0
kerala,02-01-2013,3.9,27.0
kerala,02-01-2013,3.9,23.0
tamil nadu,02-01-2013,3.9,20.0
tamil nadu,02-01-2013,3.9,25.0
telangana,02-01-2013,2.4,20.0
haryana,03-01-2013,21.1,9.0
haryana,03-01-2013,21.1,9.0
himachal pradesh,03-01-2013,79.9,16.0
punjab,03-01-2013,9.3,10.0
punjab,03-01-2013,9.3,6.0
uttar pradesh,03-01-2013,6.1,10.0
uttar pradesh,03-01-2013,6.1,10.0
uttar pradesh,03-01-2013,6.1,10.0
uttarakhand,03-01-2013,73.0,12.0
chhattisgarh,03-01-2013,2.8,16.0
gujarat,03-01-2013,0.0,18.0
gujarat,03-01-2013,0.0,16.0
madhya pradesh,03-01-2013,1.7,15.0
madhya pradesh,03-01-2013,1.7,15.0
maharashtra,03-01-2013,0.1,17.0
rajasthan,03-01-2013,1.4,10.0
rajasthan,03-01-2013,1.4,10.0
rajasthan,03-01-2013,1.4,7.0
west bengal,03-01-2013,2.5,12.0
karnataka,03-01-2013,2.4,18.0
kerala,03-01-2013,3.9,27.0
kerala,03-01-2013,3.9,23.0
tamil nadu,03-01-2013,3.9,20.0
tamil nadu,03-01-2013,3.9,25.0
telangana,03-01-2013,2.4,20.0
haryana,04-01-2013,21.1,9.0
haryana,04-01-2013,21.1,9.0
himachal pradesh,04-01-2013,79.9,16.0
punjab,04-01-2013,9.3,10.0
punjab,04-01-2013,9.3,10.0
punjab,04-01-2013,9.3,9.0
uttar pradesh,04-01-2013,6.1,10.0
uttar pradesh,04-01-2013,6.1,10.0
uttar pradesh,04-01-2013,6.1,10.0
uttarakhand,04-01-2013,73.0,12.0
chhattisgarh,04-01-2013,2.8,16.0
gujarat,04-01-2013,0.0,18.0
gujarat,04-01-2013,0.0,16.0
madhya pradesh,04-01-2013,1.7,15.0
madhya pradesh,04-01-2013,1.7,15.0
madhya pradesh,04-01-2013,1.7,15.0
madhya pradesh,04-01-2013,1.7,10.0
maharashtra,04-01-2013,0.1,17.0
rajasthan,04-01-2013,1.4,10.0
rajasthan,04-01-2013,1.4,10.0
rajasthan,04-01-2013,1.4,7.0
west bengal,04-01-2013,2.5,11.0
karnataka,04-01-2013,2.4,18.0
kerala,04-01-2013,3.9,27.0
kerala,04-01-2013,3.9,23.0
tamil nadu,04-01-2013,3.9,20.0
tamil nadu,04-01-2013,3.9,25.0
telangana,04-01-2013,2.4,20.0
haryana,07-01-2013,21.1,9.0
haryana,07-01-2013,21.1,9.0
himachal pradesh,07-01-2013,79.9,16.0
punjab,07-01-2013,9.3,10.0
punjab,07-01-2013,9.3,10.0
punjab,07-01-2013,9.3,6.0
uttar pradesh,07-01-2013,6.1,10.0
uttar pradesh,07-01-2013,6.1,10.0
uttar pradesh,07-01-2013,6.1,8.0
uttarakhand,07-01-2013,73.0,12.0
chhattisgarh,07-01-2013,2.8,16.0
gujarat,07-01-2013,0.0,18.0
gujarat,07-01-2013,0.0,18.0
madhya pradesh,07-01-2013,1.7,15.0
madhya pradesh,07-01-2013,1.7,15.0
madhya pradesh,07-01-2013,1.7,14.0
maharashtra,07-01-2013,0.1,17.0
rajasthan,07-01-2013,1.4,10.0
rajasthan,07-01-2013,1.4,12.0
rajasthan,07-01-2013,1.4,7.0
bihar,07-01-2013,5.1,13.0
bihar,07-01-2013,5.1,8.0
west bengal,07-01-2013,2.5,11.0
karnataka,07-01-2013,2.4,15.0
kerala,07-01-2013,3.9,27.0
kerala,07-01-2013,3.9,23.0
tamil nadu,07-01-2013,3.9,20.0
tamil nadu,07-01-2013,3.9,25.0
telangana,07-01-2013,2.4,18.0
haryana,08-01-2013,21.1,9.0
haryana,08-01-2013,21.1,9.0
himachal pradesh,08-01-2013,79.9,10.0
himachal pradesh,08-01-2013,79.9,16.0
punjab,08-01-2013,9.3,10.0
punjab,08-01-2013,9.3,6.0
uttar pradesh,08-01-2013,6.1,10.0
uttar pradesh,08-01-2013,6.1,10.0
uttar pradesh,08-01-2013,6.1,8.0
uttarakhand,08-01-2013,73.0,12.0
chhattisgarh,08-01-2013,2.8,16.0
gujarat,08-01-2013,0.0,18.0
gujarat,08-01-2013,0.0,18.0
madhya pradesh,08-01-2013,1.7,15.0
madhya pradesh,08-01-2013,1.7,15.0
madhya pradesh,08-01-2013,1.7,20.0
madhya pradesh,08-01-2013,1.7,14.0
maharashtra,08-01-2013,0.1,15.0
rajasthan,08-01-2013,1.4,10.0
rajasthan,08-01-2013,1.4,7.0
bihar,08-01-2013,5.1,13.0
bihar,08-01-2013,5.1,8.0
west bengal,08-01-2013,2.5,11.0
karnataka,08-01-2013,2.4,15.0
kerala,08-01-2013,3.9,27.0
kerala,08-01-2013,3.9,23.0
tamil nadu,08-01-2013,3.9,20.0
tamil nadu,08-01-2013,3.9,25.0
telangana,08-01-2013,2.4,18.0
haryana,09-01-2013,21.1,9.0
haryana,09-01-2013,21.1,10.0
himachal pradesh,09-01-2013,79.9,10.0
himachal pradesh,09-01-2013,79.9,16.0
punjab,09-01-2013,9.3,10.0
punjab,09-01-2013,9.3,10.0
punjab,09-01-2013,9.3,9.0
uttar pradesh,09-01-2013,6.1,10.0
uttar pradesh,09-01-2013,6.1,10.0
uttar pradesh,09-01-2013,6.1,8.0
chhattisgarh,09-01-2013,2.8,16.0
gujarat,09-01-2013,0.0,18.0
gujarat,09-01-2013,0.0,10.0
madhya pradesh,09-01-2013,1.7,15.0
madhya pradesh,09-01-2013,1.7,15.0
madhya pradesh,09-01-2013,1.7,14.0
maharashtra,09-01-2013,0.1,15.0
rajasthan,09-01-2013,1.4,10.0
rajasthan,09-01-2013,1.4,12.0
rajasthan,09-01-2013,1.4,7.0
bihar,09-01-2013,5.1,13.0
jharkhand,09-01-2013,1.1,12.0
west bengal,09-01-2013,2.5,11.0
karnataka,09-01-2013,2.4,15.0
tamil nadu,09-01-2013,3.9,20.0
tamil nadu,09-01-2013,3.9,25.0
telangana,09-01-2013,2.4,20.0
haryana,10-01-2013,21.1,9.0
haryana,10-01-2013,21.1,10.0
himachal pradesh,10-01-2013,79.9,10.0
himachal pradesh,10-01-2013,79.9,16.0
punjab,10-01-2013,9.3,10.0
punjab,10-01-2013,9.3,10.0
punjab,10-01-2013,9.3,15.0
uttar pradesh,10-01-2013,6.1,10.0
uttar pradesh,10-01-2013,6.1,10.0
uttar pradesh,10-01-2013,6.1,8.0
uttarakhand,10-01-2013,73.0,10.0
chhattisgarh,10-01-2013,2.8,16.0
gujarat,10-01-2013,0.0,18.0
gujarat,10-01-2013,0.0,11.0
madhya pradesh,10-01-2013,1.7,15.0
madhya pradesh,10-01-2013,1.7,15.0
madhya pradesh,10-01-2013,1.7,20.0
madhya pradesh,10-01-2013,1.7,14.0
maharashtra,10-01-2013,0.1,15.0
rajasthan,10-01-2013,1.4,10.0
rajasthan,10-01-2013,1.4,12.0
rajasthan,10-01-2013,1.4,7.0
bihar,10-01-2013,5.1,13.0
bihar,10-01-2013,5.1,8.0
jharkhand,10-01-2013,1.1,12.0
west bengal,10-01-2013,2.5,11.0
karnataka,10-01-2013,2.4,15.0
tamil nadu,10-01-2013,3.9,20.0
tamil nadu,10-01-2013,3.9,25.0
telangana,10-01-2013,2.4,20.0
haryana,11-01-2013,21.1,9.0
haryana,11-01-2013,21.1,10.0
himachal pradesh,11-01-2013,79.9,10.0
himachal pradesh,11-01-2013,79.9,16.0
punjab,11-01-2013,9.3,10.0
punjab,11-01-2013,9.3,10.0
punjab,11-01-2013,9.3,15.0
uttar pradesh,11-01-2013,6.1,10.0
uttar pradesh,11-01-2013,6.1,10.0
uttar pradesh,11-01-2013,6.1,8.0
uttarakhand,11-01-2013,73.0,10.0
chhattisgarh,11-01-2013,2.8,16.0
gujarat,11-01-2013,0.0,18.0
gujarat,11-01-2013,0.0,11.0
madhya pradesh,11-01-2013,1.7,15.0
maharashtra,11-01-2013,0.1,15.0
rajasthan,11-01-2013,1.4,10.0
rajasthan,11-01-2013,1.4,7.0
bihar,11-01-2013,5.1,13.0
bihar,11-01-2013,5.1,8.0
west bengal,11-01-2013,2.5,10.0
karnataka,11-01-2013,2.4,15.0
tamil nadu,11-01-2013,3.9,20.0
tamil nadu,11-01-2013,3.9,25.0
telangana,11-01-2013,2.4,18.0
haryana,14-01-2013,21.1,9.0
haryana,14-01-2013,21.1,10.0
himachal pradesh,14-01-2013,79.9,10.0
himachal pradesh,14-01-2013,79.9,16.0
punjab,14-01-2013,9.3,10.0
uttarakhand,14-01-2013,73.0,10.0
chhattisgarh,14-01-2013,2.8,16.0
madhya pradesh,14-01-2013,1.7,15.0
maharashtra,14-01-2013,0.1,15.0
rajasthan,14-01-2013,1.4,12.0
bihar,14-01-2013,5.1,13.0
bihar,14-01-2013,5.1,8.0
west bengal,14-01-2013,2.5,10.0
haryana,15-01-2013,21.1,9.0
haryana,15-01-2013,21.1,10.0
himachal pradesh,15-01-2013,79.9,10.0
himachal pradesh,15-01-2013,79.9,16.0
punjab,15-01-2013,9.3,10.0
punjab,15-01-2013,9.3,10.0
punjab,15-01-2013,9.3,8.0
uttar pradesh,15-01-2013,6.1,10.0
uttar pradesh,15-01-2013,6.1,10.0
uttar pradesh,15-01-2013,6.1,8.0
uttarakhand,15-01-2013,73.0,10.0
chhattisgarh,15-01-2013,2.8,16.0
madhya pradesh,15-01-2013,1.7,15.0
madhya pradesh,15-01-2013,1.7,15.0
madhya pradesh,15-01-2013,1.7,14.0
maharashtra,15-01-2013,0.1,15.0
rajasthan,15-01-2013,1.4,10.0
rajasthan,15-01-2013,1.4,12.0
rajasthan,15-01-2013,1.4,7.0
bihar,15-01-2013,5.1,13.0
bihar,15-01-2013,5.1,10.0
west bengal,15-01-2013,2.5,10.0
karnataka,15-01-2013,2.4,15.0
kerala,15-01-2013,3.9,24.0
kerala,15-01-2013,3.9,23.0
telangana,15-01-2013,2.4,18.0
haryana,16-01-2013,21.1,9.0
haryana,16-01-2013,21.1,10.0
himachal pradesh,16-01-2013,79.9,10.0
himachal pradesh,16-01-2013,79.9,16.0
punjab,16-01-2013,9.3,10.0
punjab,16-01-2013,9.3,8.0
uttar pradesh,16-01-2013,6.1,10.0
uttar pradesh,16-01-2013,6.1,10.0
uttar pradesh,16-01-2013,6.1,8.0
uttarakhand,16-01-2013,73.0,10.0
chhattisgarh,16-01-2013,2.8,16.0
gujarat,16-01-2013,0.0,18.0
gujarat,16-01-2013,0.0,12.0
madhya pradesh,16-01-2013,1.7,15.0
madhya pradesh,16-01-2013,1.7,15.0
madhya pradesh,16-01-2013,1.7,14.0
maharashtra,16-01-2013,0.1,15.0
rajasthan,16-01-2013,1.4,10.0
rajasthan,16-01-2013,1.4,12.0
rajasthan,16-01-2013,1.4,7.0
bihar,16-01-2013,5.1,13.0
bihar,16-01-2013,5.1,10.0
west bengal,16-01-2013,2.5,10.0
kerala,16-01-2013,3.9,24.0
kerala,16-01-2013,3.9,23.0
tamil nadu,16-01-2013,3.9,25.0
telangana,16-01-2013,2.4,18.0
haryana,17-01-2013,21.1,9.0
haryana,17-01-2013,21.1,10.0
himachal pradesh,17-01-2013,79.9,10.0
himachal pradesh,17-01-2013,79.9,10.0
punjab,17-01-2013,9.3,10.0
punjab,17-01-2013,9.3,10.0
punjab,17-01-2013,9.3,8.0
uttar pradesh,17-01-2013,6.1,10.0
uttar pradesh,17-01-2013,6.1,10.0
uttar pradesh,17-01-2013,6.1,10.0
uttarakhand,17-01-2013,73.0,10.0
chhattisgarh,17-01-2013,2.8,16.0
gujarat,17-01-2013,0.0,18.0
gujarat,17-01-2013,0.0,12.0
madhya pradesh,17-01-2013,1.7,15.0
madhya pradesh,17-01-2013,1.7,15.0
madhya pradesh,17-01-2013,1.7,14.0
maharashtra,17-01-2013,0.1,15.0
rajasthan,17-01-2013,1.4,10.0
rajasthan,17-01-2013,1.4,12.0
bihar,17-01-2013,5.1,13.0
bihar,17-01-2013,5.1,10.0
jharkhand,17-01-2013,1.1,10.0
west bengal,17-01-2013,2.5,10.0
kerala,17-01-2013,3.9,25.0
kerala,17-01-2013,3.9,23.0
tamil nadu,17-01-2013,3.9,20.0
tamil nadu,17-01-2013,3.9,25.0
telangana,17-01-2013,2.4,18.0
punjab,18-01-2013,9.3,10.0
uttar pradesh,18-01-2013,6.1,10.0
uttar pradesh,18-01-2013,6.1,10.0
uttar pradesh,18-01-2013,6.1,10.0
chhattisgarh,18-01-2013,2.8,16.0
gujarat,18-01-2013,0.0,18.0
gujarat,18-01-2013,0.0,12.0
madhya pradesh,18-01-2013,1.7,15.0
madhya pradesh,18-01-2013,1.7,15.0
madhya pradesh,18-01-2013,1.7,14.0
maharashtra,18-01-2013,0.1,15.0
rajasthan,18-01-2013,1.4,7.0
west bengal,18-01-2013,2.5,10.0
karnataka,18-01-2013,2.4,18.0
kerala,18-01-2013,3.9,25.0
kerala,18-01-2013,3.9,24.0
tamil nadu,18-01-2013,3.9,20.0
tamil nadu,18-01-2013,3.9,25.0
telangana,18-01-2013,2.4,18.0
haryana,21-01-2013,21.1,9.0
haryana,21-01-2013,21.1,10.0
himachal pradesh,21-01-2013,79.9,10.0
punjab,21-01-2013,9.3,9.0
punjab,21-01-2013,9.3,10.0
uttar pradesh,21-01-2013,6.1,10.0
uttar pradesh,21-01-2013,6.1,10.0
uttar pradesh,21-01-2013,6.1,10.0
chhattisgarh,21-01-2013,2.8,16.0
gujarat,21-01-2013,0.0,18.0
gujarat,21-01-2013,0.0,13.0
madhya pradesh,21-01-2013,1.7,15.0
madhya pradesh,21-01-2013,1.7,15.0
madhya pradesh,21-01-2013,1.7,15.0
madhya pradesh,21-01-2013,1.7,15.0
maharashtra,21-01-2013,0.1,15.0
rajasthan,21-01-2013,1.4,10.0
rajasthan,21-01-2013,1.4,14.0
bihar,21-01-2013,5.1,13.0
bihar,21-01-2013,5.1,8.0
west bengal,21-01-2013,2.5,10.0
karnataka,21-01-2013,2.4,18.0
kerala,21-01-2013,3.9,25.0
kerala,21-01-2013,3.9,24.0
tamil nadu,21-01-2013,3.9,20.0
tamil nadu,21-01-2013,3.9,25.0
telangana,21-01-2013,2.4,18.0
haryana,22-01-2013,21.1,9.0
haryana,22-01-2013,21.1,10.0
himachal pradesh,22-01-2013,79.9,10.0
himachal pradesh,22-01-2013,79.9,10.0
punjab,22-01-2013,9.3,9.0
punjab,22-01-2013,9.3,10.0
uttar pradesh,22-01-2013,6.1,10.0
uttar pradesh,22-01-2013,6.1,10.0
uttar pradesh,22-01-2013,6.1,10.0
uttarakhand,22-01-2013,73.0,10.0
chhattisgarh,22-01-2013,2.8,16.0
gujarat,22-01-2013,0.0,18.0
gujarat,22-01-2013,0.0,11.0
madhya pradesh,22-01-2013,1.7,15.0
madhya pradesh,22-01-2013,1.7,15.0
madhya pradesh,22-01-2013,1.7,15.0
maharashtra,22-01-2013,0.1,15.0
rajasthan,22-01-2013,1.4,10.0
rajasthan,22-01-2013,1.4,12.0
rajasthan,22-01-2013,1.4,6.0
bihar,22-01-2013,5.1,13.0
jharkhand,22-01-2013,1.1,10.0
west bengal,22-01-2013,2.5,10.0
karnataka,22-01-2013,2.4,18.0
kerala,22-01-2013,3.9,25.0
kerala,22-01-2013,3.9,24.0
tamil nadu,22-01-2013,3.9,20.0
tamil nadu,22-01-2013,3.9,25.0
telangana,22-01-2013,2.4,18.0
haryana,23-01-2013,21.1,9.0
haryana,23-01-2013,21.1,10.0
himachal pradesh,23-01-2013,79.9,10.0
himachal pradesh,23-01-2013,79.9,10.0
punjab,23-01-2013,9.3,9.0
punjab,23-01-2013,9.3,10.0
punjab,23-01-2013,9.3,7.0
uttar pradesh,23-01-2013,6.1,10.0
uttar pradesh,23-01-2013,6.1,10.0
uttar pradesh,23-01-2013,6.1,10.0
uttarakhand,23-01-2013,73.0,10.0
chhattisgarh,23-01-2013,2.8,16.0
gujarat,23-01-2013,0.0,18.0
gujarat,23-01-2013,0.0,10.0
madhya pradesh,23-01-2013,1.7,15.0
madhya pradesh,23-01-2013,1.7,15.0
madhya pradesh,23-01-2013,1.7,15.0
maharashtra,23-01-2013,0.1,15.0
rajasthan,23-01-2013,1.4,10.0
rajasthan,23-01-2013,1.4,10.0
bihar,23-01-2013,5.1,13.0
bihar,23-01-2013,5.1,8.0
jharkhand,23-01-2013,1.1,10.0
karnataka,23-01-2013,2.4,18.0
kerala,23-01-2013,3.9,25.0
kerala,23-01-2013,3.9,24.0
tamil nadu,23-01-2013,3.9,20.0
tamil nadu,23-01-2013,3.9,25.0
telangana,23-01-2013,2.4,18.0
haryana,24-01-2013,21.1,9.0
haryana,24-01-2013,21.1,10.0
himachal pradesh,24-01-2013,79.9,10.0
himachal pradesh,24-01-2013,79.9,10.0
punjab,24-01-2013,9.3,9.0
punjab,24-01-2013,9.3,7.0
uttar pradesh,24-01-2013,6.1,10.0
uttar pradesh,24-01-2013,6.1,10.0
uttar pradesh,24-01-2013,6.1,10.0
chhattisgarh,24-01-2013,2.8,16.0
gujarat,24-01-2013,0.0,18.0
gujarat,24-01-2013,0.0,10.0
madhya pradesh,24-01-2013,1.7,15.0
madhya pradesh,24-01-2013,1.7,15.0
madhya pradesh,24-01-2013,1.7,20.0
madhya pradesh,24-01-2013,1.7,15.0
maharashtra,24-01-2013,0.1,15.0
rajasthan,24-01-2013,1.4,10.0
bihar,24-01-2013,5.1,13.0
bihar,24-01-2013,5.1,8.0
jharkhand,24-01-2013,1.1,10.0
west bengal,24-01-2013,2.5,10.0
karnataka,24-01-2013,2.4,18.0
tamil nadu,24-01-2013,3.9,20.0
tamil nadu,24-01-2013,3.9,25.0
telangana,24-01-2013,2.4,18.0
himachal pradesh,28-01-2013,79.9,10.0
himachal pradesh,28-01-2013,79.9,10.0
punjab,28-01-2013,9.3,10.0
punjab,28-01-2013,9.3,7.0
uttar pradesh,28-01-2013,6.1,10.0
uttar pradesh,28-01-2013,6.1,10.0
uttar pradesh,28-01-2013,6.1,10.0
chhattisgarh,28-01-2013,2.8,16.0
gujarat,28-01-2013,0.0,18.0
gujarat,28-01-2013,0.0,10.0
madhya pradesh,28-01-2013,1.7,15.0
madhya pradesh,28-01-2013,1.7,20.0
madhya pradesh,28-01-2013,1.7,15.0
maharashtra,28-01-2013,0.1,15.0
rajasthan,28-01-2013,1.4,10.0
jharkhand,28-01-2013,1.1,10.0
west bengal,28-01-2013,2.5,10.0
karnataka,28-01-2013,2.4,19.0
kerala,28-01-2013,3.9,24.0
tamil nadu,28-01-2013,3.9,18.0
tamil nadu,28-01-2013,3.9,25.0
telangana,28-01-2013,2.4,18.0
haryana,30-01-2013,21.1,9.0
haryana,30-01-2013,21.1,10.0
himachal pradesh,30-01-2013,79.9,10.0
punjab,30-01-2013,9.3,10.0
punjab,30-01-2013,9.3,11.0
uttar pradesh,30-01-2013,6.1,10.0
uttar pradesh,30-01-2013,6.1,10.0
uttar pradesh,30-01-2013,6.1,8.0
chhattisgarh,30-01-2013,2.8,16.0
gujarat,30-01-2013,0.0,18.0
gujarat,30-01-2013,0.0,11.0
madhya pradesh,30-01-2013,1.7,15.0
madhya pradesh,30-01-2013,1.7,20.0
madhya pradesh,30-01-2013,1.7,15.0
maharashtra,30-01-2013,0.1,19.0
rajasthan,30-01-2013,1.4,10.0
rajasthan,30-01-2013,1.4,10.0
rajasthan,30-01-2013,1.4,6.0
bihar,30-01-2013,5.1,13.0
bihar,30-01-2013,5.1,7.0
west bengal,30-01-2013,2.5,10.0
karnataka,30-01-2013,2.4,19.0
kerala,30-01-2013,3.9,25.0
kerala,30-01-2013,3.9,24.0
tamil nadu,30-01-2013,3.9,18.0
tamil nadu,30-01-2013,3.9,25.0
telangana,30-01-2013,2.4,18.0
haryana,31-01-2013,21.1,9.0
haryana,31-01-2013,21.1,10.0
himachal pradesh,31-01-2013,79.9,10.0
himachal pradesh,31-01-2013,79.9,10.0
punjab,31-01-2013,9.3,10.0
punjab,31-01-2013,9.3,10.0
punjab,31-01-2013,9.3,11.0
uttar pradesh,31-01-2013,6.1,10.0
uttar pradesh,31-01-2013,6.1,10.0
uttar pradesh,31-01-2013,6.1,8.0
uttarakhand,31-01-2013,73.0,10.0
chhattisgarh,31-01-2013,2.8,16.0
gujarat,31-01-2013,0.0,18.0
gujarat,31-01-2013,0.0,11.0
madhya pradesh,31-01-2013,1.7,15.0
madhya pradesh,31-01-2013,1.7,15.0
madhya pradesh,31-01-2013,1.7,20.0
madhya pradesh,31-01-2013,1.7,15.0
maharashtra,31-01-2013,0.1,19.0
rajasthan,31-01-2013,1.4,10.0
rajasthan,31-01-2013,1.4,12.0
rajasthan,31-01-2013,1.4,6.0
bihar,31-01-2013,5.1,13.0
bihar,31-01-2013,5.1,9.0
jharkhand,31-01-2013,1.1,10.0
west bengal,31-01-2013,2.5,10.0
kerala,31-01-2013,3.9,25.0
kerala,31-01-2013,3.9,24.0
tamil nadu,31-01-2013,3.9,18.0
tamil nadu,31-01-2013,3.9,25.0
telangana,31-01-2013,2.4,18.0
haryana,01-02-2013,52.2,9.0
haryana,01-02-2013,52.2,10.0
himachal pradesh,01-02-2013,182.6,10.0
himachal pradesh,01-02-2013,182.6,8.0
punjab,01-02-2013,50.1,10.0
punjab,01-02-2013,50.1,10.0
punjab,01-02-2013,50.1,11.0
uttar pradesh,01-02-2013,59.6,10.0
uttar pradesh,01-02-2013,59.6,10.0
uttar pradesh,01-02-2013,59.6,8.0
uttarakhand,01-02-2013,188.3,10.0
chhattisgarh,01-02-2013,19.7,16.0
gujarat,01-02-2013,0.9,18.0
gujarat,01-02-2013,0.9,10.0
madhya pradesh,01-02-2013,31.1,15.0
madhya pradesh,01-02-2013,31.1,15.0
madhya pradesh,01-02-2013,31.1,20.0
madhya pradesh,01-02-2013,31.1,15.0
maharashtra,01-02-2013,5.3,20.0
rajasthan,01-02-2013,21.7,15.0
bihar,01-02-2013,22.6,9.0
west bengal,01-02-2013,10.0,10.0
karnataka,01-02-2013,19.6,21.0
kerala,01-02-2013,40.1,25.0
kerala,01-02-2013,40.1,24.0
tamil nadu,01-02-2013,30.9,18.0
tamil nadu,01-02-2013,30.9,25.0
telangana,01-02-2013,29.0,18.0
haryana,04-02-2013,52.2,9.0
haryana,04-02-2013,52.2,10.0
himachal pradesh,04-02-2013,182.6,10.0
himachal pradesh,04-02-2013,182.6,8.0
punjab,04-02-2013,50.1,10.0
punjab,04-02-2013,50.1,10.0
punjab,04-02-2013,50.1,11.0
uttar pradesh,04-02-2013,59.6,10.0
uttar pradesh,04-02-2013,59.6,10.0
uttar pradesh,04-02-2013,59.6,8.0
uttarakhand,04-02-2013,188.3,11.0
chhattisgarh,04-02-2013,19.7,16.0
gujarat,04-02-2013,0.9,18.0
gujarat,04-02-2013,0.9,10.0
madhya pradesh,04-02-2013,31.1,15.0
madhya pradesh,04-02-2013,31.1,15.0
madhya pradesh,04-02-2013,31.1,20.0
madhya pradesh,04-02-2013,31.1,15.0
maharashtra,04-02-2013,5.3,20.0
rajasthan,04-02-2013,21.7,10.0
bihar,04-02-2013,22.6,13.0
bihar,04-02-2013,22.6,6.0
west bengal,04-02-2013,10.0,9.0
karnataka,04-02-2013,19.6,21.0
kerala,04-02-2013,40.1,25.0
kerala,04-02-2013,40.1,24.0
tamil nadu,04-02-2013,30.9,18.0
telangana,04-02-2013,29.0,18.0
haryana,05-02-2013,52.2,9.0
haryana,05-02-2013,52.2,10.0
himachal pradesh,05-02-2013,182.6,10.0
himachal pradesh,05-02-2013,182.6,8.0
punjab,05-02-2013,50.1,10.0
punjab,05-02-2013,50.1,10.0
punjab,05-02-2013,50.1,11.0
uttar pradesh,05-02-2013,59.6,10.0
uttar pradesh,05-02-2013,59.6,10.0
uttar pradesh,05-02-2013,59.6,8.0
chhattisgarh,05-02-2013,19.7,16.0
gujarat,05-02-2013,0.9,18.0
gujarat,05-02-2013,0.9,10.0
madhya pradesh,05-02-2013,31.1,15.0
madhya pradesh,05-02-2013,31.1,15.0
madhya pradesh,05-02-2013,31.1,20.0
madhya pradesh,05-02-2013,31.1,15.0
maharashtra,05-02-2013,5.3,20.0
rajasthan,05-02-2013,21.7,10.0
bihar,05-02-2013,22.6,13.0
bihar,05-02-2013,22.6,6.0
west bengal,05-02-2013,10.0,9.0
karnataka,05-02-2013,19.6,21.0
kerala,05-02-2013,40.1,25.0
kerala,05-02-2013,40.1,24.0
tamil nadu,05-02-2013,30.9,18.0
telangana,05-02-2013,29.0,18.0
haryana,06-02-2013,52.2,9.0
haryana,06-02-2013,52.2,10.0
himachal pradesh,06-02-2013,182.6,10.0
himachal pradesh,06-02-2013,182.6,8.0
punjab,06-02-2013,50.1,10.0
punjab,06-02-2013,50.1,10.0
punjab,06-02-2013,50.1,13.0
uttar pradesh,06-02-2013,59.6,10.0
uttar pradesh,06-02-2013,59.6,10.0
uttar pradesh,06-02-2013,59.6,8.0
uttarakhand,06-02-2013,188.3,11.0
chhattisgarh,06-02-2013,19.7,16.0
gujarat,06-02-2013,0.9,18.0
gujarat,06-02-2013,0.9,10.0
madhya pradesh,06-02-2013,31.1,15.0
madhya pradesh,06-02-2013,31.1,15.0
madhya pradesh,06-02-2013,31.1,20.0
maharashtra,06-02-2013,5.3,20.0
rajasthan,06-02-2013,21.7,10.0
rajasthan,06-02-2013,21.7,10.0
bihar,06-02-2013,22.6,13.0
bihar,06-02-2013,22.6,8.0
jharkhand,06-02-2013,17.9,10.0
west bengal,06-02-2013,10.0,9.0
karnataka,06-02-2013,19.6,24.0
kerala,06-02-2013,40.1,25.0
kerala,06-02-2013,40.1,24.0
tamil nadu,06-02-2013,30.9,18.0
telangana,06-02-2013,29.0,18.0
haryana,07-02-2013,52.2,9.0
haryana,07-02-2013,52.2,10.0
himachal pradesh,07-02-2013,182.6,10.0
himachal pradesh,07-02-2013,182.6,8.0
punjab,07-02-2013,50.1,10.0
punjab,07-02-2013,50.1,13.0
uttar pradesh,07-02-2013,59.6,10.0
uttar pradesh,07-02-2013,59.6,10.0
uttar pradesh,07-02-2013,59.6,8.0
uttarakhand,07-02-2013,188.3,11.0
